"TargetModule","Coverage"

"url","0.8979591836734694"
"url_typed","0.9183673469387755"

"conf","0.7945205479452054"
"conf_typed","0.8082191780821918"

"httpcache","0.1388888888888889"
"httpcache_typed","0.2013888888888889"

"cookies","0.5757575757575758"
"cookies_typed","0.7424242424242424"

"headers","1.0"

"iterators","0.26153846153846155"
"iterators_typed","0.7076923076923077"

"check","0.13953488372093023"
"check_typed","0.13953488372093023"

"fetch","0.4090909090909091"
"fetch_typed","0.4090909090909091"

"request","0.34831460674157305"
"request_untyped","0.34831460674157305"
